URL,Page Title,Meta Description,Character Count
https://www.continuitytrainingacademy.co.uk,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://www.continuitytrainingacademy.co.uk/,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://continuitytrainingacademy.co.uk/,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://www.continuitytrainingacademy.co.uk/about/,About,"Award-winning care training provider based in Maidstone, Kent. CQC-compliant courses delivered by experienced health and social care professionals.",150
https://www.continuitytrainingacademy.co.uk/accessibility-statement/,Accessibility Statement,"Our commitment to making training accessible to everyone. Learn about our accessibility features and how we support learners with additional needs.",155
https://www.continuitytrainingacademy.co.uk/contact/,Contact,"Get in touch about care training courses in Kent. Call us, email, or book a callback. We're here Monday to Friday 9am-5pm to answer your questions.",156
https://www.continuitytrainingacademy.co.uk/contact/?type=schedule-call,Contact - Schedule Call,"Book a free callback to discuss care training for your team. We'll call you at a time that suits you to talk about courses, pricing, and group bookings.",158
https://www.continuitytrainingacademy.co.uk/contact-us/,Contact (404),"Get in touch about care training courses in Kent. Call us, email, or book a callback. We're here Monday to Friday 9am-5pm to answer your questions.",156
https://www.continuitytrainingacademy.co.uk/cookie-policy/,Cookie Policy,"How we use cookies on our website. Information about the cookies we set, why we use them, and how to manage your cookie preferences.",142
https://www.continuitytrainingacademy.co.uk/privacy-policy/,Privacy Policy,"How we collect, use, and protect your personal data. Read our full privacy policy covering booking information, training records, and data security.",157
https://www.continuitytrainingacademy.co.uk/terms-conditions/,Terms & Conditions,"Terms and conditions for booking care training courses. Read about cancellation policies, payment terms, refunds, and learner responsibilities.",153
https://www.continuitytrainingacademy.co.uk/courses/,All Courses,"Browse 40+ CQC-compliant care training courses in Kent. From safeguarding and first aid to dementia care and medication management. Book now.",148
https://www.continuitytrainingacademy.co.uk/courses/?category=communication-workplace-culture,Communication Courses,"Effective communication and workplace culture training for care workers. Build better relationships with service users, families, and colleagues.",155
